식사시간,지역,세부지역,성별,연령대,결혼유무,자녀유무,거주유무,결제업종,총결제금액,결제개수,기온,강수량,적설량,전운량,날씨_구름,날씨_비,날씨_눈
4,전라북도,전주시완산구,0.0,0.0,0.0,0.0,1.0,양식,0.07887421820708826,0.07964601769911504,0.6766467065868262,0.0,1.0,0.30000000000000004,1,0,0
4,전라북도,전주시완산구,0.0,0.0,0.0,0.0,1.0,양식,0.07887421820708826,0.07964601769911504,0.6766467065868262,0.0,1.0,0.0,2,0,0
2,전라북도,전주시완산구,1.0,0.0,0.0,0.0,1.0,양식,0.0965948575399583,0.07964601769911504,0.4610778443113772,1.0,0.6666666666666665,0.9,3,0,0
2,전라북도,전주시완산구,1.0,0.0,0.0,0.0,1.0,양식,0.0965948575399583,0.07964601769911504,0.467065868263473,0.0,1.0,0.8,0,0,0
2,전라북도,전주시완산구,1.0,0.0,0.0,0.0,1.0,양식,0.0965948575399583,0.07964601769911504,0.4491017964071856,0.0,1.0,0.5,1,0,0
2,전라북도,전주시완산구,1.0,0.0,0.0,0.0,1.0,양식,0.0965948575399583,0.07964601769911504,0.44311377245508976,0.0,1.0,0.1,2,0,0
2,전라북도,전주시덕진구,1.0,0.8000000000000002,0.0,0.0,0.0,중식,0.12161223071577483,0.07964601769911504,0.3293413173652694,0.0,1.0,0.7000000000000001,0,0,0
3,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,1.0,중식,0.5010423905489924,0.5575221238938053,0.7544910179640718,0.0,1.0,0.2,2,0,0
3,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,1.0,중식,0.5010423905489924,0.5575221238938053,0.7485029940119761,0.0,1.0,0.30000000000000004,1,0,0
3,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,1.0,중식,0.5010423905489924,0.5575221238938053,0.6467065868263473,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,1.0,중식,0.5010423905489924,0.5575221238938053,0.5748502994011976,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,1.0,중식,0.5010423905489924,0.5575221238938053,0.5029940119760479,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,1.0,중식,0.5010423905489924,0.5575221238938053,0.4730538922155688,0.0,1.0,0.0,2,0,0
2,전라북도,전주시덕진구,1.0,0.8000000000000002,0.0,0.0,0.0,중식,0.12161223071577483,0.07964601769911504,0.43113772455089816,0.0,1.0,0.0,2,0,0
2,전라북도,전주시덕진구,1.0,0.8000000000000002,0.0,0.0,0.0,중식,0.12161223071577483,0.07964601769911504,0.3952095808383233,0.0,1.0,0.0,2,0,0
2,전라북도,전주시덕진구,1.0,0.8000000000000002,0.0,0.0,0.0,중식,0.12161223071577483,0.07964601769911504,0.311377245508982,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,1.0,0.4,0.0,0.0,1.0,중식,0.10771369006254343,0.23008849557522126,0.688622754491018,0.0,1.0,0.0,2,0,0
